,Date,Hour,Unit_Consumption,Time,Full_Date,Day_of_Week_Num,Day_of_Week,Weekend,Holiday,AM_PM,Time_of_Day
308,13,20,150,20:00,2023-04-13,3,Thursday,N,N,PM,Night
309,13,21,250,21:00,2023-04-13,3,Thursday,N,N,PM,Night
310,13,22,250,22:00,2023-04-13,3,Thursday,N,N,PM,Night
311,13,23,50,23:00,2023-04-13,3,Thursday,N,N,PM,Night
312,14,0,150,0:00,2023-04-14,4,Friday,N,Y,AM,Late_Night
313,14,1,250,1:00,2023-04-14,4,Friday,N,Y,AM,Late_Night
314,14,2,50,2:00,2023-04-14,4,Friday,N,Y,AM,Late_Night
315,14,3,100,3:00,2023-04-14,4,Friday,N,Y,AM,Late_Night
316,14,4,50,4:00,2023-04-14,4,Friday,N,Y,AM,Late_Night
317,14,5,50,5:00,2023-04-14,4,Friday,N,Y,AM,Late_Night
318,14,6,50,6:00,2023-04-14,4,Friday,N,Y,AM,Morning
319,14,7,150,7:00,2023-04-14,4,Friday,N,Y,AM,Morning
320,14,8,250,8:00,2023-04-14,4,Friday,N,Y,AM,Morning
321,14,9,200,9:00,2023-04-14,4,Friday,N,Y,AM,Morning
322,14,10,200,10:00,2023-04-14,4,Friday,N,Y,AM,Morning
323,14,11,300,11:00,2023-04-14,4,Friday,N,Y,AM,Morning
324,14,12,150,12:00,2023-04-14,4,Friday,N,Y,PM,Afternoon
325,14,13,300,13:00,2023-04-14,4,Friday,N,Y,PM,Afternoon
326,14,14,250,14:00,2023-04-14,4,Friday,N,Y,PM,Afternoon
327,14,15,200,15:00,2023-04-14,4,Friday,N,Y,PM,Afternoon
328,14,16,350,16:00,2023-04-14,4,Friday,N,Y,PM,Afternoon
329,14,17,200,17:00,2023-04-14,4,Friday,N,Y,PM,Afternoon
330,14,18,250,18:00,2023-04-14,4,Friday,N,Y,PM,Night
331,14,19,300,19:00,2023-04-14,4,Friday,N,Y,PM,Night
332,14,20,250,20:00,2023-04-14,4,Friday,N,Y,PM,Night
333,14,21,350,21:00,2023-04-14,4,Friday,N,Y,PM,Night
334,14,22,50,22:00,2023-04-14,4,Friday,N,Y,PM,Night
335,14,23,100,23:00,2023-04-14,4,Friday,N,Y,PM,Night
336,15,0,100,0:00,2023-04-15,5,Saturday,Y,N,AM,Late_Night
337,15,1,100,1:00,2023-04-15,5,Saturday,Y,N,AM,Late_Night
338,15,2,0,2:00,2023-04-15,5,Saturday,Y,N,AM,Late_Night
339,15,3,50,3:00,2023-04-15,5,Saturday,Y,N,AM,Late_Night
